iter	Passed	Remaining
0	103	51553
1	220	54974
2	298	49465
3	371	46117
4	455	45138
5	530	43638
6	578	40721
7	661	40663
8	736	40203
9	815	39953
10	898	39943
11	987	40139
12	1090	40855
13	1182	41048
14	1254	40554
15	1335	40410
16	1417	40265
17	1492	39952
18	1573	39831
19	1661	39879
20	1746	39834
21	1824	39637
22	1824	39637
23	1901	39343
24	1995	39496
25	1995	39496
26	2072	39212
27	2162	39258
28	2240	39078
29	2315	38862
30	2354	38079
31	2445	38143
32	2543	38322
33	2632	38342
34	2738	38589
35	2845	38830
36	2941	38906
37	3041	39031
38	3144	39174
39	3246	39302
40	3356	39507
41	3440	39394
42	3530	39347
43	3616	39263
44	3699	39143
45	3805	39267
46	3915	39413
47	4012	39426
48	4091	39265
49	4188	39266
50	4317	39565
51	4439	39777
52	4537	39770
53	4648	39872
54	4756	39934
55	4871	40055
56	4973	40057
57	5075	40056
58	5174	40034
59	5274	40012
60	5388	40097
61	5498	40136
62	5598	40108
63	5705	40123
64	5811	40124
65	5905	40044
66	6008	40023
67	6008	40023
68	6116	39941
69	6227	39968
70	6322	39888
71	6419	39820
72	6516	39753
73	6516	39753
74	6619	39621
75	6619	39621
76	6619	39621
77	6727	39428
78	6829	39383
79	6829	39383
80	6945	39327
81	7065	39377
82	7065	39377
83	7168	39240
84	7245	39050
85	7326	38885
86	7402	38700
87	7484	38544
88	7564	38382
89	7649	38245
90	7729	38090
91	7805	37914
92	7884	37754
93	7959	37574
94	8068	37559
95	8166	37491
96	8277	37480
97	8383	37446
98	8485	37391
99	8578	37297
100	8655	37132
101	8732	36975
102	8811	36821
103	8887	36661
104	8962	36497
105	9043	36360
106	9135	36263
107	9227	36172
108	9313	36054
109	9396	35926
110	9491	35848
111	9583	35751
112	9692	35722
113	9782	35624
114	9879	35546
115	9953	35388
116	10028	35239
117	10104	35090
118	10190	34979
119	10298	34942
120	10401	34886
121	10486	34770
122	10572	34657
123	10652	34530
124	10735	34408
125	10837	34349
126	10921	34233
127	11022	34170
128	11101	34039
129	11174	33890
130	11263	33790
131	11343	33664
132	11418	33523
133	11504	33418
134	11587	33302
135	11668	33182
136	11734	33020
137	11830	32944
138	11910	32823
139	11992	32707
140	12068	32576
141	12179	32538
142	12257	32413
143	12342	32308
144	12425	32196
145	12505	32080
146	12591	31977
147	12670	31856
148	12767	31782
149	12838	31643
150	12910	31509
151	13010	31441
152	13115	31386
153	13202	31286
154	13286	31183
155	13364	31064
156	13450	30963
157	13533	30856
158	13612	30740
159	13689	30621
160	13765	30500
161	13850	30399
162	13929	30284
163	14004	30164
164	14082	30048
165	14161	29936
166	14234	29811
167	14316	29705
168	14395	29596
169	14476	29489
170	14546	29360
171	14627	29255
172	14697	29128
173	14767	29001
174	14841	28882
175	14914	28762
176	14991	28651
177	15069	28544
178	15165	28468
179	15272	28414
180	15368	28337
181	15461	28257
182	15534	28138
183	15634	28070
184	15716	27969
185	15796	27865
186	15871	27752
187	15949	27645
188	16029	27542
189	16106	27433
190	16208	27368
191	16305	27293
192	16402	27219
193	16488	27126
194	16569	27024
195	16650	26924
196	16736	26832
197	16822	26738
198	16924	26672
199	17004	26568
200	17099	26491
201	17206	26430
202	17287	26329
203	17364	26224
204	17444	26122
205	17522	26018
206	17608	25926
207	17682	25816
208	17755	25705
209	17833	25602
210	17908	25494
211	17967	25366
212	18048	25268
213	18119	25155
214	18204	25063
215	18311	25001
216	18462	24999
217	18626	25013
218	18770	24997
219	18873	24926
220	18945	24815
221	19027	24717
222	19103	24612
223	19177	24504
224	19256	24402
225	19374	24351
226	19526	24340
227	19670	24319
228	19670	24319
229	19768	24151
230	19850	24053
231	19935	23957
232	20011	23852
233	20087	23748
234	20156	23635
235	20156	23635
236	20293	23511
237	20431	23477
238	20556	23429
239	20640	23332
240	20714	23225
241	20799	23130
242	20879	23029
243	20949	22919
244	21023	22812
245	21102	22711
246	21175	22605
247	21259	22510
248	21333	22404
249	21408	22300
250	21483	22196
251	21559	22093
252	21640	21996
253	21714	21892
254	21785	21785
255	21853	21676
256	21927	21572
257	22009	21476
258	22079	21370
259	22157	21271
260	22231	21168
261	22309	21069
262	22382	20966
263	22464	20872
264	22539	20772
265	22615	20671
266	22692	20573
267	22769	20475
268	22848	20378
269	22924	20279
270	22998	20179
271	23073	20079
272	23149	19981
273	23223	19881
274	23300	19783
275	23382	19690
276	23467	19600
277	23540	19499
278	23645	19425
279	23712	19321
280	23787	19222
281	23864	19126
282	23943	19031
283	24015	18932
