iter	Passed	Remaining
0	33	1970
1	56	1635
2	82	1560
3	111	1565
4	139	1533
5	161	1455
6	186	1410
7	212	1379
8	232	1316
9	257	1289
10	283	1263
11	314	1257
12	342	1237
13	369	1214
14	395	1186
15	421	1157
16	446	1128
17	474	1106
18	502	1083
19	530	1060
20	556	1033
21	582	1005
22	607	977
23	632	948
24	658	921
25	685	895
26	709	867
27	735	841
28	763	816
29	790	790
30	816	763
31	841	736
32	868	710
33	893	683
34	919	657
35	944	629
36	970	603
37	996	576
38	1021	550
39	1047	523
40	1071	496
41	1099	471
42	1124	444
43	1150	418
44	1175	391
45	1202	366
46	1228	339
47	1253	313
48	1279	287
49	1304	260
50	1329	234
51	1355	208
52	1382	182
53	1408	156
54	1429	129
55	1453	103
56	1478	77
57	1504	51
58	1529	25
59	1556	0
